date,card_id,name,set_name,set_id,rarity,card_number,release_date,market_price,low_price,mid_price,high_price,tcgplayer_url
2026-06-22,rsv10pt5-166,Reshiram ex,White Flare,rsv10pt5,Special Illustration Rare,166,2025/07/18,214.44,205.0,255.26,1653.1,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-166
2026-06-22,sv8pt5-146,Flareon ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,146,2025/01/17,211.72,198.01,254.99,1595.1,https://prices.pokemontcg.io/tcgplayer/sv8pt5-146
2026-06-22,sv4pt5-233,Gardevoir ex,Paldean Fates,sv4pt5,Special Illustration Rare,233,2024/01/26,206.88,174.0,217.5,276.99,https://prices.pokemontcg.io/tcgplayer/sv4pt5-233
2026-06-22,sv8pt5-153,Jolteon ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,153,2025/01/17,205.62,193.99,222.34,1463.1,https://prices.pokemontcg.io/tcgplayer/sv8pt5-153
2026-06-22,me1-178,Mega Gardevoir ex,Mega Evolution,me1,Special Illustration Rare,178,2025/09/26,203.63,184.99,229.99,1711.2,https://prices.pokemontcg.io/tcgplayer/me1-178
2026-06-22,sv10-230,Ethan's Ho-Oh ex,Destined Rivals,sv10,Special Illustration Rare,230,2025/05/30,200.45,161.69,232.69,9999.0,https://prices.pokemontcg.io/tcgplayer/sv10-230
2026-06-22,sv8-239,Latias ex,Surging Sparks,sv8,Special Illustration Rare,239,2024/11/08,190.35,170.0,210.18,1754.9,https://prices.pokemontcg.io/tcgplayer/sv8-239
2026-06-22,sv8pt5-167,Eevee ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,167,2025/01/17,190.08,179.99,224.89,3009.8,https://prices.pokemontcg.io/tcgplayer/sv8pt5-167
2026-06-22,me1-177,Mega Venusaur ex,Mega Evolution,me1,Special Illustration Rare,177,2025/09/26,189.29,171.99,200.11,1307.9,https://prices.pokemontcg.io/tcgplayer/me1-177
2026-06-22,sv6-220,Perrin,Twilight Masquerade,sv6,Special Illustration Rare,220,2024/05/24,185.87,170.39,200.0,1212.7,https://prices.pokemontcg.io/tcgplayer/sv6-220
2026-06-22,sv8pt5-162,Roaring Moon ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,162,2025/01/17,177.4,150.0,219.37,1499.6,https://prices.pokemontcg.io/tcgplayer/sv8pt5-162
2026-06-22,sv3pt5-200,Blastoise ex,151,sv3pt5,Special Illustration Rare,200,2023/09/22,163.49,129.1,175.0,20000.0,https://prices.pokemontcg.io/tcgplayer/sv3pt5-200
2026-06-22,sv8-237,Milotic ex,Surging Sparks,sv8,Special Illustration Rare,237,2024/11/08,142.9,130.0,167.01,969.9,https://prices.pokemontcg.io/tcgplayer/sv8-237
2026-06-22,sv8pt5-165,Dragapult ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,165,2025/01/17,137.25,123.69,142.91,1609.9,https://prices.pokemontcg.io/tcgplayer/sv8pt5-165
2026-06-22,sv7-143,Bulbasaur,Stellar Crown,sv7,Illustration Rare,143,2024/09/13,135.53,131.69,150.0,797.78,https://prices.pokemontcg.io/tcgplayer/sv7-143
2026-06-22,sv10-233,Team Rocket's Nidoking ex,Destined Rivals,sv10,Special Illustration Rare,233,2025/05/30,131.21,124.0,156.14,936.7,https://prices.pokemontcg.io/tcgplayer/sv10-233
2026-06-22,sv3pt5-198,Venusaur ex,151,sv3pt5,Special Illustration Rare,198,2023/09/22,127.91,111.15,144.4,1239.06,https://prices.pokemontcg.io/tcgplayer/sv3pt5-198
2026-06-22,sv7-148,Squirtle,Stellar Crown,sv7,Illustration Rare,148,2024/09/13,127.85,115.0,143.1,1043.19,https://prices.pokemontcg.io/tcgplayer/sv7-148
2026-06-22,sv9-184,Lillie's Clefairy ex,Journey Together,sv9,Special Illustration Rare,184,2025/03/28,126.27,120.0,144.86,1251.2,https://prices.pokemontcg.io/tcgplayer/sv9-184
2026-06-22,sv10-229,Team Rocket's Moltres ex,Destined Rivals,sv10,Special Illustration Rare,229,2025/05/30,125.24,121.0,149.82,919.22,https://prices.pokemontcg.io/tcgplayer/sv10-229
2026-06-22,sv3pt5-168,Charmander,151,sv3pt5,Illustration Rare,168,2023/09/22,123.02,91.0,138.1,503.2,https://prices.pokemontcg.io/tcgplayer/sv3pt5-168
2026-06-22,sv4-199,Groudon,Paradox Rift,sv4,Illustration Rare,199,2023/11/03,122.85,94.4,137.16,899.22,https://prices.pokemontcg.io/tcgplayer/sv4-199
2026-06-22,sv3-223,Charizard ex,Obsidian Flames,sv3,Special Illustration Rare,223,2023/08/11,122.83,84.99,139.3,999.99,https://prices.pokemontcg.io/tcgplayer/sv3-223
2026-06-22,sv2-211,Raichu,Paldea Evolved,sv2,Illustration Rare,211,2023/06/09,120.32,91.15,120.09,879.66,https://prices.pokemontcg.io/tcgplayer/sv2-211
2026-06-22,sv3pt5-170,Squirtle,151,sv3pt5,Illustration Rare,170,2023/09/22,116.81,90.0,126.0,958.52,https://prices.pokemontcg.io/tcgplayer/sv3pt5-170
2026-06-22,sv3pt5-202,Zapdos ex,151,sv3pt5,Special Illustration Rare,202,2023/09/22,111.39,100.0,130.2,507.8,https://prices.pokemontcg.io/tcgplayer/sv3pt5-202
2026-06-22,sv5-177,Gastly,Temporal Forces,sv5,Illustration Rare,177,2024/03/22,109.17,101.37,119.99,498.8,https://prices.pokemontcg.io/tcgplayer/sv5-177
2026-06-22,sv2-226,Maushold,Paldea Evolved,sv2,Illustration Rare,226,2023/06/09,106.32,90.0,111.25,9999.0,https://prices.pokemontcg.io/tcgplayer/sv2-226
2026-06-22,sv3pt5-173,Pikachu,151,sv3pt5,Illustration Rare,173,2023/09/22,104.8,72.11,109.99,10000.0,https://prices.pokemontcg.io/tcgplayer/sv3pt5-173
2026-06-22,sv8pt5-147,Ceruledge ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,147,2025/01/17,99.79,90.0,114.6,999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-147
2026-06-22,sv8-247,Pikachu ex,Surging Sparks,sv8,Hyper Rare,247,2024/11/08,96.33,94.0,128.17,568.7,https://prices.pokemontcg.io/tcgplayer/sv8-247
2026-06-22,me1-181,Mega Latias ex,Mega Evolution,me1,Special Illustration Rare,181,2025/09/26,96.27,85.0,104.97,999.0,https://prices.pokemontcg.io/tcgplayer/me1-181
2026-06-22,sv6-188,Eevee,Twilight Masquerade,sv6,Illustration Rare,188,2024/05/24,95.16,87.99,102.69,999.0,https://prices.pokemontcg.io/tcgplayer/sv6-188
2026-06-22,rsv10pt5-105,Oshawott,White Flare,rsv10pt5,Illustration Rare,105,2025/07/18,93.84,90.75,102.28,490.0,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-105
2026-06-22,rsv10pt5-169,Hydreigon ex,White Flare,rsv10pt5,Special Illustration Rare,169,2025/07/18,88.56,84.17,111.28,724.8,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-169
2026-06-22,sv3pt5-166,Bulbasaur,151,sv3pt5,Illustration Rare,166,2023/09/22,87.54,74.35,96.99,437.7,https://prices.pokemontcg.io/tcgplayer/sv3pt5-166
2026-06-22,sv1-245,Gardevoir ex,Scarlet & Violet,sv1,Special Illustration Rare,245,2023/03/31,84.52,83.99,97.61,300.0,https://prices.pokemontcg.io/tcgplayer/sv1-245
2026-06-22,sv6pt5-78,Persian,Shrouded Fable,sv6pt5,Illustration Rare,78,2024/08/02,83.53,78.01,96.24,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-78
2026-06-22,sv3pt5-169,Charmeleon,151,sv3pt5,Illustration Rare,169,2023/09/22,83.2,63.73,89.99,749.14,https://prices.pokemontcg.io/tcgplayer/sv3pt5-169
2026-06-22,zsv10pt5-165,Kyurem ex,Black Bolt,zsv10pt5,Special Illustration Rare,165,2025/07/18,82.75,82.12,95.49,703.8,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-165
2026-06-22,sv8pt5-168,Bloodmoon Ursaluna ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,168,2025/01/17,82.7,70.0,97.57,999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-168
2026-06-22,rsv10pt5-143,Zoroark,White Flare,rsv10pt5,Illustration Rare,143,2025/07/18,82.13,79.99,100.0,501.2,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-143
2026-06-22,sv3pt5-175,Psyduck,151,sv3pt5,Illustration Rare,175,2023/09/22,80.93,66.1,88.72,5000.0,https://prices.pokemontcg.io/tcgplayer/sv3pt5-175
2026-06-22,sv3pt5-201,Alakazam ex,151,sv3pt5,Special Illustration Rare,201,2023/09/22,80.81,70.0,88.0,698.58,https://prices.pokemontcg.io/tcgplayer/sv3pt5-201
2026-06-22,sv2-222,Tyranitar,Paldea Evolved,sv2,Illustration Rare,222,2023/06/09,79.97,62.99,88.03,468.96,https://prices.pokemontcg.io/tcgplayer/sv2-222
2026-06-22,sv10-193,Misty's Psyduck,Destined Rivals,sv10,Illustration Rare,193,2025/05/30,79.32,70.0,85.98,550.0,https://prices.pokemontcg.io/tcgplayer/sv10-193
2026-06-22,sv7-169,Dachsbun ex,Stellar Crown,sv7,Special Illustration Rare,169,2024/09/13,79.04,70.0,82.52,450.0,https://prices.pokemontcg.io/tcgplayer/sv7-169
2026-06-22,sv10-234,Team Rocket's Crobat ex,Destined Rivals,sv10,Special Illustration Rare,234,2025/05/30,78.63,74.99,90.0,643.1,https://prices.pokemontcg.io/tcgplayer/sv10-234
2026-06-22,sv3pt5-171,Wartortle,151,sv3pt5,Illustration Rare,171,2023/09/22,77.61,59.99,79.46,320.0,https://prices.pokemontcg.io/tcgplayer/sv3pt5-171
2026-06-22,rsv10pt5-167,Keldeo ex,White Flare,rsv10pt5,Special Illustration Rare,167,2025/07/18,77.49,70.0,84.47,556.9,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-167
2026-06-22,sv5-211,Morty's Conviction,Temporal Forces,sv5,Special Illustration Rare,211,2024/03/22,77.32,73.0,82.06,386.6,https://prices.pokemontcg.io/tcgplayer/sv5-211
2026-06-22,sv8pt5-157,Iron Valiant ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,157,2025/01/17,77.27,44.55,86.53,999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-157
2026-06-22,me1-184,Lillie's Determination,Mega Evolution,me1,Special Illustration Rare,184,2025/09/26,74.83,71.64,82.34,999.0,https://prices.pokemontcg.io/tcgplayer/me1-184
2026-06-22,zsv10pt5-147,Haxorus,Black Bolt,zsv10pt5,Illustration Rare,147,2025/07/18,74.01,66.0,81.38,420.0,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-147
2026-06-22,zsv10pt5-170,N's Plan,Black Bolt,zsv10pt5,Special Illustration Rare,170,2025/07/18,73.16,72.99,89.99,612.4,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-170
2026-06-22,sv8pt5-166,Raging Bolt ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,166,2025/01/17,72.84,68.98,81.65,999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-166
2026-06-22,me1-182,Mega Kangaskhan ex,Mega Evolution,me1,Special Illustration Rare,182,2025/09/26,72.81,66.08,81.13,999.0,https://prices.pokemontcg.io/tcgplayer/me1-182
2026-06-22,sv6-217,Carmine,Twilight Masquerade,sv6,Special Illustration Rare,217,2024/05/24,72.77,68.0,79.99,999.0,https://prices.pokemontcg.io/tcgplayer/sv6-217
2026-06-22,sv10-240,Team Rocket's Mewtwo ex,Destined Rivals,sv10,Hyper Rare,240,2025/05/30,72.67,69.1,79.99,595.7,https://prices.pokemontcg.io/tcgplayer/sv10-240
2026-06-22,sv1-210,Drowzee,Scarlet & Violet,sv1,Illustration Rare,210,2023/03/31,72.3,55.0,77.76,446.38,https://prices.pokemontcg.io/tcgplayer/sv1-210
2026-06-22,me1-180,Mega Absol ex,Mega Evolution,me1,Special Illustration Rare,180,2025/09/26,71.76,67.36,79.82,999.0,https://prices.pokemontcg.io/tcgplayer/me1-180
2026-06-22,sv5-208,Raging Bolt ex,Temporal Forces,sv5,Special Illustration Rare,208,2024/03/22,71.6,68.0,80.0,606.6,https://prices.pokemontcg.io/tcgplayer/sv5-208
2026-06-22,sv9-187,Salamence ex,Journey Together,sv9,Special Illustration Rare,187,2025/03/28,71.5,54.67,76.98,9999.0,https://prices.pokemontcg.io/tcgplayer/sv9-187
2026-06-22,sv8pt5-179,Pikachu ex,Prismatic Evolutions,sv8pt5,Hyper Rare,179,2025/01/17,71.45,70.99,85.43,999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-179
2026-06-22,sv2-269,Iono,Paldea Evolved,sv2,Special Illustration Rare,269,2023/06/09,70.76,65.0,80.94,526.54,https://prices.pokemontcg.io/tcgplayer/sv2-269
2026-06-22,rsv10pt5-103,Chandelure,White Flare,rsv10pt5,Illustration Rare,103,2025/07/18,69.98,65.99,76.96,451.5,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-103
2026-06-22,sv6pt5-98,Basic Darkness Energy,Shrouded Fable,sv6pt5,Hyper Rare,98,2024/08/02,66.54,59.0,71.2,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-98
2026-06-22,sv2-196,Sprigatito,Paldea Evolved,sv2,Illustration Rare,196,2023/06/09,64.48,56.3,78.09,382.27,https://prices.pokemontcg.io/tcgplayer/sv2-196
2026-06-22,sv3pt5-176,Poliwhirl,151,sv3pt5,Illustration Rare,176,2023/09/22,63.02,50.0,64.3,361.24,https://prices.pokemontcg.io/tcgplayer/sv3pt5-176
2026-06-22,rsv10pt5-171,Hilda,White Flare,rsv10pt5,Special Illustration Rare,171,2025/07/18,62.83,55.51,69.99,510.1,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-171
2026-06-22,zsv10pt5-129,Dwebble,Black Bolt,zsv10pt5,Illustration Rare,129,2025/07/18,62.56,61.93,72.81,312.8,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-129
2026-06-22,sv7-170,Terapagos ex,Stellar Crown,sv7,Special Illustration Rare,170,2024/09/13,62.52,49.95,65.45,315.6,https://prices.pokemontcg.io/tcgplayer/sv7-170
2026-06-22,sv4-253,Altaria ex,Paradox Rift,sv4,Special Illustration Rare,253,2023/11/03,62.32,56.75,69.39,179.0,https://prices.pokemontcg.io/tcgplayer/sv4-253
2026-06-22,sv6pt5-68,Duskull,Shrouded Fable,sv6pt5,Illustration Rare,68,2024/08/02,62.07,55.06,65.0,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-68
2026-06-22,zsv10pt5-100,Volcarona,Black Bolt,zsv10pt5,Illustration Rare,100,2025/07/18,61.82,55.5,62.12,326.2,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-100
2026-06-22,sv2-262,Tinkaton ex,Paldea Evolved,sv2,Special Illustration Rare,262,2023/06/09,61.71,54.0,67.91,308.55,https://prices.pokemontcg.io/tcgplayer/sv2-262
2026-06-22,sv2-204,Marill,Paldea Evolved,sv2,Illustration Rare,204,2023/06/09,61.42,46.99,67.82,246.4,https://prices.pokemontcg.io/tcgplayer/sv2-204
2026-06-22,sv5-205,Walking Wake ex,Temporal Forces,sv5,Special Illustration Rare,205,2024/03/22,60.88,58.0,72.0,335.0,https://prices.pokemontcg.io/tcgplayer/sv5-205
2026-06-22,sv5-166,Sawsbuck,Temporal Forces,sv5,Illustration Rare,166,2024/03/22,60.69,54.0,66.72,303.45,https://prices.pokemontcg.io/tcgplayer/sv5-166
2026-06-22,sv5-204,Gouging Fire ex,Temporal Forces,sv5,Special Illustration Rare,204,2024/03/22,60.48,57.6,61.76,100.0,https://prices.pokemontcg.io/tcgplayer/sv5-204
2026-06-22,sv6-187,Chansey,Twilight Masquerade,sv6,Illustration Rare,187,2024/05/24,60.41,53.47,70.18,999.0,https://prices.pokemontcg.io/tcgplayer/sv6-187
2026-06-22,zsv10pt5-137,Krookodile,Black Bolt,zsv10pt5,Illustration Rare,137,2025/07/18,60.27,55.0,68.51,396.9,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-137
2026-06-22,sv5-206,Iron Crown ex,Temporal Forces,sv5,Special Illustration Rare,206,2024/03/22,59.01,57.0,60.99,357.4,https://prices.pokemontcg.io/tcgplayer/sv5-206
2026-06-22,sv3pt5-167,Ivysaur,151,sv3pt5,Illustration Rare,167,2023/09/22,58.6,49.99,64.99,458.54,https://prices.pokemontcg.io/tcgplayer/sv3pt5-167
2026-06-22,zsv10pt5-164,Serperior ex,Black Bolt,zsv10pt5,Special Illustration Rare,164,2025/07/18,56.87,55.0,65.99,428.5,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-164
2026-06-22,sv6pt5-66,Houndoom,Shrouded Fable,sv6pt5,Illustration Rare,66,2024/08/02,56.77,50.0,72.42,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-66
2026-06-22,sv1-211,Ralts,Scarlet & Violet,sv1,Illustration Rare,211,2023/03/31,55.09,44.0,59.29,304.35,https://prices.pokemontcg.io/tcgplayer/sv1-211
2026-06-22,sv3pt5-181,Dragonair,151,sv3pt5,Illustration Rare,181,2023/09/22,54.72,45.0,57.5,1700.0,https://prices.pokemontcg.io/tcgplayer/sv3pt5-181
2026-06-22,sv2-201,Fuecoco,Paldea Evolved,sv2,Illustration Rare,201,2023/06/09,54.48,49.54,63.44,99.0,https://prices.pokemontcg.io/tcgplayer/sv2-201
2026-06-22,sv2-259,Chi-Yu ex,Paldea Evolved,sv2,Special Illustration Rare,259,2023/06/09,53.83,53.99,60.5,379.62,https://prices.pokemontcg.io/tcgplayer/sv2-259
2026-06-22,sv8pt5-164,Gholdengo ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,164,2025/01/17,53.73,46.0,64.87,999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-164
2026-06-22,rsv10pt5-142,Zorua,White Flare,rsv10pt5,Illustration Rare,142,2025/07/18,53.73,51.18,55.58,259.8,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-142
2026-06-22,sv1-212,Kirlia,Scarlet & Violet,sv1,Illustration Rare,212,2023/03/31,53.59,43.0,59.72,5000.0,https://prices.pokemontcg.io/tcgplayer/sv1-212
2026-06-22,sv9-185,N's Zoroark ex,Journey Together,sv9,Special Illustration Rare,185,2025/03/28,53.28,48.67,58.0,531.2,https://prices.pokemontcg.io/tcgplayer/sv9-185
2026-06-22,zsv10pt5-92,Lilligant,Black Bolt,zsv10pt5,Illustration Rare,92,2025/07/18,52.96,51.99,60.5,282.4,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-92
2026-06-22,sv6pt5-69,Dusclops,Shrouded Fable,sv6pt5,Illustration Rare,69,2024/08/02,51.77,46.6,55.29,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-69
2026-06-22,rsv10pt5-137,Liepard,White Flare,rsv10pt5,Illustration Rare,137,2025/07/18,51.72,49.0,61.49,290.1,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-137
2026-06-22,sv6pt5-67,Horsea,Shrouded Fable,sv6pt5,Illustration Rare,67,2024/08/02,51.71,46.0,58.0,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-67
2026-06-22,sv4-194,Minun,Paradox Rift,sv4,Illustration Rare,194,2023/11/03,51.09,39.49,57.53,150.0,https://prices.pokemontcg.io/tcgplayer/sv4-194
2026-06-22,sv4-193,Plusle,Paradox Rift,sv4,Illustration Rare,193,2023/11/03,50.92,44.82,56.99,341.61,https://prices.pokemontcg.io/tcgplayer/sv4-193
2026-06-22,rsv10pt5-107,Samurott,White Flare,rsv10pt5,Illustration Rare,107,2025/07/18,50.77,47.99,58.73,421.8,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-107
2026-06-22,sv1-204,Slowpoke,Scarlet & Violet,sv1,Illustration Rare,204,2023/03/31,49.14,41.0,55.23,234.56,https://prices.pokemontcg.io/tcgplayer/sv1-204
2026-06-22,sv10-236,Ethan's Adventure,Destined Rivals,sv10,Special Illustration Rare,236,2025/05/30,48.85,45.0,52.13,9999.0,https://prices.pokemontcg.io/tcgplayer/sv10-236
2026-06-22,sv3-199,Ninetales,Obsidian Flames,sv3,Illustration Rare,199,2023/08/11,48.81,39.0,51.45,243.15,https://prices.pokemontcg.io/tcgplayer/sv3-199
2026-06-22,zsv10pt5-96,Amoonguss,Black Bolt,zsv10pt5,Illustration Rare,96,2025/07/18,48.22,39.99,58.25,94.99,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-96
2026-06-22,sv8pt5-151,Palafin ex,Prismatic Evolutions,sv8pt5,Special Illustration Rare,151,2025/01/17,48.18,42.0,54.59,9999.0,https://prices.pokemontcg.io/tcgplayer/sv8pt5-151
2026-06-22,zsv10pt5-169,Genesect ex,Black Bolt,zsv10pt5,Special Illustration Rare,169,2025/07/18,47.82,43.0,54.95,409.9,https://prices.pokemontcg.io/tcgplayer/zsv10pt5-169
2026-06-22,sv6-216,Bloodmoon Ursaluna ex,Twilight Masquerade,sv6,Special Illustration Rare,216,2024/05/24,47.75,42.95,50.96,999.0,https://prices.pokemontcg.io/tcgplayer/sv6-216
2026-06-22,sv5-183,Cinccino,Temporal Forces,sv5,Illustration Rare,183,2024/03/22,46.75,36.0,60.0,1000.0,https://prices.pokemontcg.io/tcgplayer/sv5-183
2026-06-22,sv5-165,Deerling,Temporal Forces,sv5,Illustration Rare,165,2024/03/22,46.7,42.99,54.31,2000.0,https://prices.pokemontcg.io/tcgplayer/sv5-165
2026-06-22,rsv10pt5-98,Emboar,White Flare,rsv10pt5,Illustration Rare,98,2025/07/18,46.45,42.99,52.47,319.2,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-98
2026-06-22,sv4-206,Morpeko,Paradox Rift,sv4,Illustration Rare,206,2023/11/03,46.44,38.5,58.43,262.47,https://prices.pokemontcg.io/tcgplayer/sv4-206
2026-06-22,sv3-228,Charizard ex,Obsidian Flames,sv3,Hyper Rare,228,2023/08/11,45.54,34.63,49.97,252.0,https://prices.pokemontcg.io/tcgplayer/sv3-228
2026-06-22,sv9-183,Iono's Bellibolt ex,Journey Together,sv9,Special Illustration Rare,183,2025/03/28,45.35,38.0,49.56,9999.0,https://prices.pokemontcg.io/tcgplayer/sv9-183
2026-06-22,sv6pt5-92,Fezandipiti ex,Shrouded Fable,sv6pt5,Special Illustration Rare,92,2024/08/02,45.31,40.68,47.99,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-92
2026-06-22,rsv10pt5-113,Vanilluxe,White Flare,rsv10pt5,Illustration Rare,113,2025/07/18,45.06,42.0,48.77,321.6,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-113
2026-06-22,sv3-202,Cleffa,Obsidian Flames,sv3,Illustration Rare,202,2023/08/11,44.55,36.0,47.63,353.0,https://prices.pokemontcg.io/tcgplayer/sv3-202
2026-06-22,sv2-212,Mismagius,Paldea Evolved,sv2,Illustration Rare,212,2023/06/09,44.33,38.68,48.88,770.0,https://prices.pokemontcg.io/tcgplayer/sv2-212
2026-06-22,sv6pt5-72,Munkidori,Shrouded Fable,sv6pt5,Illustration Rare,72,2024/08/02,44.0,39.13,47.96,999.0,https://prices.pokemontcg.io/tcgplayer/sv6pt5-72
